nuisance_regime,TypeI_timeupdated_IPCW,Coverage_timeupdated_IPCW,Power_timeupdated_IPCW,SignError_timeupdated_IPCW,Median_min_c_hat
0,0.08,0.92,0.1825,0.1325,0.0851405173579128
1,0.0975,0.9025,0.18,0.1425,0.123715710624309
