truth,scenario_id,axisA,axisB,rho_meas,mis_spec,bias,rmse,cover,ci_excl0,sign_error,logrr_median,rd_median
non_null,S08,increasing,none,0.7,1,0.0961882842565906,0.114176678617437,0.675,0.235,0.13,-0.0791020643995188,-0.0451681234925589
null,S08,increasing,none,0.7,1,0.0479587590431325,0.0756889312426093,0.885,0.115,,0.0537936546400951,0.0333366944417224
non_null,S09,increasing,none,1,0,0.0526836868141037,0.0825696243276154,0.905,0.385,0.045,-0.116382751176909,-0.0679920534844821
null,S09,increasing,none,1,0,0.00133347867216642,0.0646639159746301,0.95,0.05,,0.00164670910193661,0.0010204304100081
non_null,S09,increasing,none,1,1,0.0918242882945202,0.108496915317241,0.725,0.21,0.105,-0.0744284676280334,-0.0428757621280158
null,S09,increasing,none,1,1,0.0380846217874394,0.0710273070999474,0.925,0.075,,0.0340298046683019,0.021028035355776
non_null,S10,increasing,threshold_jump,0.4,0,0.0603795056344417,0.0942067385484335,0.865,0.33,0.05,-0.108995370700004,-0.0674007182363007
null,S10,increasing,threshold_jump,0.4,0,0.00571252792010245,0.0664126157676861,0.94,0.06,,0.00673404856469681,0.00445784136788513
non_null,S10,increasing,threshold_jump,0.4,1,0.104365186700743,0.122904397692793,0.655,0.175,0.16,-0.0612090008306987,-0.037947480370282
null,S10,increasing,threshold_jump,0.4,1,0.0458979048083928,0.0747859120551122,0.89,0.11,,0.0452214069982125,0.0284170721645955
non_null,S11,increasing,threshold_jump,0.7,0,0.0624284855251827,0.0918014998513622,0.865,0.33,0.065,-0.117004391298366,-0.0695568463219282
null,S11,increasing,threshold_jump,0.7,0,0.00237318054808305,0.0642572617809119,0.97,0.03,,-0.0001586980200301,-0.000105789042585402
non_null,S11,increasing,threshold_jump,0.7,1,0.101239119064122,0.118861002045753,0.665,0.145,0.14,-0.0718607977949208,-0.0442561724700894
null,S11,increasing,threshold_jump,0.7,1,0.0426955766299143,0.073538848785753,0.895,0.105,,0.0431976284876827,0.0277290530485768
non_null,S12,increasing,threshold_jump,1,0,0.0618652770349629,0.0957204197330761,0.84,0.32,0.085,-0.110281185423743,-0.0688975072533432
null,S12,increasing,threshold_jump,1,0,0.0042500276748111,0.0675049372502791,0.955,0.045,,0.00306309493722035,0.00203084746240734
non_null,S12,increasing,threshold_jump,1,1,0.104122754390274,0.123696852050931,0.67,0.165,0.17,-0.0691563384894935,-0.0430087071427067
null,S12,increasing,threshold_jump,1,1,0.0430861670132394,0.0750897742706909,0.88,0.12,,0.0443980266313282,0.0282601307030091
non_null,S13,late_surge,none,0.4,0,0.0592220072746033,0.0900090113748739,0.86,0.395,0.07,-0.117219180681047,-0.0678457322117131
null,S13,late_surge,none,0.4,0,-0.00364523066501003,0.0582078211700307,0.975,0.025,,-0.00832369978410879,-0.00503872659764032
non_null,S13,late_surge,none,0.4,1,0.0929044576988057,0.109809476850756,0.72,0.24,0.095,-0.0829037218776578,-0.0479760881722576
