truth,scenario_id,axisA,axisB,rho_meas,mis_spec,bias,rmse,cover,ci_excl0,sign_error,logrr_median,rd_median,dev_model_status,pct_glm_timeupdated,min_c_hat_median
null,S09,increasing,none,1,1,0.0949285910109981,0.127366332121081,0.82,0.18,,0.0879087729965131,0.0381206051873849,glm_timeupdated_reduced,1,0.119091965534724
non_null,S10,increasing,threshold_jump,0.4,0,0.0213581033153309,0.10883708374178,0.955,0.29,0.085,-0.148922664266126,-0.0560882587842634,glm_timeupdated_richer,1,0.0558257601342656
null,S10,increasing,threshold_jump,0.4,0,0.0299625994308409,0.107734464475705,0.93,0.07,,0.0332407230426267,0.0139465925992794,glm_timeupdated_richer,1,0.0611935799506821
non_null,S10,increasing,threshold_jump,0.4,1,0.0298632787119927,0.10604180239775,0.965,0.25,0.095,-0.135811145706131,-0.0512908157240821,glm_timeupdated_reduced,1,0.0928612223380044
null,S10,increasing,threshold_jump,0.4,1,0.0349956519753704,0.105074365583101,0.94,0.06,,0.0379549528725723,0.0154370319592899,glm_timeupdated_reduced,1,0.096742848950954
non_null,S11,increasing,threshold_jump,0.7,0,0.0332313880781644,0.113861042109921,0.94,0.195,0.11,-0.145596410204178,-0.0562061413633099,glm_timeupdated_richer,1,0.05
null,S11,increasing,threshold_jump,0.7,0,0.0443408795101633,0.111271063677135,0.935,0.065,,0.0423017567250192,0.0185896781163779,glm_timeupdated_richer,1,0.05
non_null,S11,increasing,threshold_jump,0.7,1,0.0488922804932975,0.112880857698656,0.935,0.15,0.145,-0.131683180325508,-0.0519149316258067,glm_timeupdated_reduced,1,0.0779714385607743
null,S11,increasing,threshold_jump,0.7,1,0.0602687936406634,0.114529899638738,0.92,0.08,,0.0593189541158108,0.0264009871470548,glm_timeupdated_reduced,1,0.0779651143694175
non_null,S12,increasing,threshold_jump,1,0,0.0919800653796319,0.152202818377661,0.885,0.125,0.275,-0.0750959966439326,-0.032601587320173,glm_timeupdated_richer,1,0.05
null,S12,increasing,threshold_jump,1,0,0.0852337873439017,0.131175433547709,0.91,0.09,,0.0843527776039997,0.0407228905775179,glm_timeupdated_richer,1,0.05
non_null,S12,increasing,threshold_jump,1,1,0.121756341385072,0.166338201605406,0.81,0.085,0.365,-0.0450525777176746,-0.0194218001925043,glm_timeupdated_reduced,1,0.05
null,S12,increasing,threshold_jump,1,1,0.111794011035093,0.146687869282256,0.84,0.16,,0.116354967027278,0.0518887548285314,glm_timeupdated_reduced,1,0.05
non_null,S13,late_surge,none,0.4,0,0.0793356808909064,0.114257357105365,0.885,0.14,0.13,-0.0998914982292502,-0.0405454431852489,glm_timeupdated_richer,1,0.17021837193523
null,S13,late_surge,none,0.4,0,0.0687533357146687,0.104759317404677,0.91,0.09,,0.0711967540996793,0.030894642156589,glm_timeupdated_richer,1,0.175082143471827
non_null,S13,late_surge,none,0.4,1,0.0812900137270284,0.115344325411153,0.885,0.13,0.135,-0.0973059707635221,-0.0386884188466982,glm_timeupdated_reduced,1,0.214293191959023
null,S13,late_surge,none,0.4,1,0.0712969742892358,0.106261415478068,0.885,0.115,,0.0750142258087996,0.0320541877267029,glm_timeupdated_reduced,1,0.217134321488758
non_null,S14,late_surge,none,0.7,0,0.0783998317403143,0.117528956688775,0.865,0.165,0.15,-0.0885915693948257,-0.0360005519856565,glm_timeupdated_richer,1,0.107143006831694
null,S14,late_surge,none,0.7,0,0.0692389581483451,0.102691996817886,0.905,0.095,,0.0692700024031179,0.0300182035369954,glm_timeupdated_richer,1,0.11313873837368
non_null,S14,late_surge,none,0.7,1,0.0873671893856979,0.123379770596888,0.85,0.14,0.185,-0.083814176324176,-0.0330170961678274,glm_timeupdated_reduced,1,0.197767122489067
null,S14,late_surge,none,0.7,1,0.0765747760211556,0.107516737590674,0.9,0.1,,0.074945651605392,0.0334628421049082,glm_timeupdated_reduced,1,0.203276451726125
non_null,S15,late_surge,none,1,0,0.066857058928337,0.111302172361107,0.905,0.155,0.135,-0.113596980912588,-0.0458797416562593,glm_timeupdated_richer,1,0.05
null,S15,late_surge,none,1,0,0.0526256144398805,0.10033026444949,0.935,0.065,,0.0609581084760367,0.0268809687144405,glm_timeupdated_richer,1,0.05
non_null,S15,late_surge,none,1,1,0.0855713408402504,0.118178499157853,0.85,0.115,0.175,-0.0881131120739852,-0.0361407786524756,glm_timeupdated_reduced,1,0.17435749363073
null,S15,late_surge,none,1,1,0.0733885543622145,0.106746231475545,0.905,0.095,,0.0795011451379217,0.0334790200468357,glm_timeupdated_reduced,1,0.177937255763194
non_null,S16,late_surge,threshold_jump,0.4,0,0.0311515765176049,0.106983520487587,0.945,0.23,0.115,-0.143091417711078,-0.0552562035460437,glm_timeupdated_richer,1,0.0734017408702562
null,S16,late_surge,threshold_jump,0.4,0,0.0208105187720382,0.103147057802547,0.965,0.035,,0.0234645668505661,0.0100408153976823,glm_timeupdated_richer,1,0.0753503944011464
non_null,S16,late_surge,threshold_jump,0.4,1,0.0349339076883113,0.106062305010638,0.945,0.24,0.095,-0.136652767780853,-0.0525623601604254,glm_timeupdated_reduced,1,0.10917087335952
null,S16,late_surge,threshold_jump,0.4,1,0.0238829609802889,0.101722046107498,0.965,0.035,,0.0187992906305395,0.00808593474094435,glm_timeupdated_reduced,1,0.112479396622096
non_null,S17,late_surge,threshold_jump,0.7,0,0.0494210582018311,0.115771760178674,0.955,0.175,0.1,-0.122551824757326,-0.0476496973796893,glm_timeupdated_richer,1,0.05
null,S17,late_surge,threshold_jump,0.7,0,0.0395304439528127,0.106974893300439,0.945,0.055,,0.0456444501344093,0.0191313754864753,glm_timeupdated_richer,1,0.0517515156376577
non_null,S17,late_surge,threshold_jump,0.7,1,0.0592812666715326,0.117868596972595,0.94,0.185,0.16,-0.108702951405545,-0.0433782330730836,glm_timeupdated_reduced,1,0.098825609459375
null,S17,late_surge,threshold_jump,0.7,1,0.0470312288603207,0.108184440064058,0.93,0.07,,0.0484247944407913,0.0202404912651276,glm_timeupdated_reduced,1,0.101027080229202
non_null,S18,late_surge,threshold_jump,1,0,0.067500898566498,0.123495077138203,0.93,0.14,0.135,-0.0858021029505587,-0.0357696355657136,glm_timeupdated_richer,1,0.05
null,S18,late_surge,threshold_jump,1,0,0.08038773287842,0.135413623342946,0.89,0.11,,0.0859549437974862,0.039126577400451,glm_timeupdated_richer,1,0.05
non_null,S18,late_surge,threshold_jump,1,1,0.0798403736499599,0.126717752096001,0.93,0.12,0.19,-0.0863045006790266,-0.035173796794944,glm_timeupdated_reduced,1,0.0604899773999401
null,S18,late_surge,threshold_jump,1,1,0.092013134554203,0.136088612005801,0.835,0.165,,0.097157691427711,0.0425350932367513,glm_timeupdated_reduced,1,0.060828300000036
