truth,scenario_id,axisA,axisB,rho_meas,mis_spec,method_Q,bias,rmse,cover,ci_excl0,sign_error,logrr_median,rd_median
null,S08,increasing,none,0.7,1,glm,0.0476198330686603,0.0752149052378906,0.88,0.12,,0.0517227769901931,0.0308478515127347
non_null,S09,increasing,none,1,0,glm,0.0536004984626027,0.0828636272961168,0.895,0.385,0.05,-0.115903968981499,-0.0675864373150779
null,S09,increasing,none,1,0,glm,0.00108928431435875,0.0641302651908904,0.955,0.045,,-0.000819177882881235,-0.00051060599018532
non_null,S09,increasing,none,1,1,glm,0.0923784598376277,0.108838523119715,0.725,0.215,0.11,-0.0758721351091306,-0.0430042892796078
null,S09,increasing,none,1,1,glm,0.0378930309648237,0.0708336671620336,0.92,0.08,,0.0338900828933779,0.0207183303457797
non_null,S10,increasing,threshold_jump,0.4,0,glm,0.0606415148985675,0.0937044510715839,0.855,0.365,0.06,-0.105861208166763,-0.0663256610091152
null,S10,increasing,threshold_jump,0.4,0,glm,0.00358094507112277,0.0646041529912192,0.955,0.045,,0.000162681428255274,0.000106793715628717
non_null,S10,increasing,threshold_jump,0.4,1,glm,0.105609570549165,0.12353516082258,0.62,0.165,0.17,-0.0636334880714363,-0.0388046982980538
null,S10,increasing,threshold_jump,0.4,1,glm,0.0455256095548685,0.0750087049049676,0.875,0.125,,0.0428078206434599,0.027240935852466
non_null,S11,increasing,threshold_jump,0.7,0,glm,0.0632222592105423,0.0918389848772644,0.89,0.345,0.07,-0.114031717574481,-0.0692080415981325
null,S11,increasing,threshold_jump,0.7,0,glm,0.00158379192969293,0.0642685035909227,0.97,0.03,,-0.00173458650479497,-0.00111148871882077
non_null,S11,increasing,threshold_jump,0.7,1,glm,0.102181798876795,0.119758741016206,0.655,0.145,0.15,-0.0726470293661729,-0.0455304178130189
null,S11,increasing,threshold_jump,0.7,1,glm,0.0436133513273024,0.0740187243008283,0.89,0.11,,0.0440008439332163,0.0284275038393556
non_null,S12,increasing,threshold_jump,1,0,glm,0.061611203689181,0.0962514783606168,0.84,0.38,0.08,-0.11298524020461,-0.070400350519919
null,S12,increasing,threshold_jump,1,0,glm,0.00436787986984331,0.0669294645018522,0.955,0.045,,0.00315265398899129,0.0020391126519192
non_null,S12,increasing,threshold_jump,1,1,glm,0.104794182699146,0.124190804747833,0.67,0.15,0.17,-0.0665331810093572,-0.0414690330099928
null,S12,increasing,threshold_jump,1,1,glm,0.0435641191098156,0.0754962313919584,0.88,0.12,,0.0460977245865113,0.0297234407563458
non_null,S13,late_surge,none,0.4,0,glm,0.0604437462237496,0.0901717659646921,0.86,0.4,0.065,-0.118220669900984,-0.068291700714579
null,S13,late_surge,none,0.4,0,glm,-0.0044308351810893,0.0570087147623685,0.97,0.03,,-0.0105614584524491,-0.00670206713058497
non_null,S13,late_surge,none,0.4,1,glm,0.0928722504800592,0.109819627904581,0.72,0.245,0.09,-0.0820089907356848,-0.0489732103606917
null,S13,late_surge,none,0.4,1,glm,0.0325557062052371,0.0639357044460388,0.925,0.075,,0.0341713621140219,0.0214268436061867
non_null,S14,late_surge,none,0.7,0,glm,0.055946625781148,0.0898353660083709,0.845,0.42,0.04,-0.11645795211765,-0.0706941086414822
null,S14,late_surge,none,0.7,0,glm,-0.00267757299182932,0.0568692646317427,0.95,0.05,,0.00310254405801136,0.00195826604071991
non_null,S14,late_surge,none,0.7,1,glm,0.0928905316289464,0.112782565121093,0.655,0.285,0.105,-0.0735231636510784,-0.0437415127732801
null,S14,late_surge,none,0.7,1,glm,0.0324380163613723,0.0618620532957341,0.945,0.055,,0.0320691826198561,0.019758648110061
non_null,S15,late_surge,none,1,0,glm,0.0484344233511686,0.0772691467930564,0.905,0.425,0.04,-0.120991553505506,-0.0708944328202842
null,S15,late_surge,none,1,0,glm,-0.00699482470400608,0.0574468687426025,0.975,0.025,,-0.00759904362933052,-0.00471807262857432
non_null,S15,late_surge,none,1,1,glm,0.0848837807567501,0.101715120847481,0.755,0.25,0.065,-0.0866861656056777,-0.051467325924172
null,S15,late_surge,none,1,1,glm,0.0265763671249972,0.0594350404852648,0.945,0.055,,0.0242992491851914,0.0152550657882945
non_null,S16,late_surge,threshold_jump,0.4,0,glm,0.0644220393037704,0.0941364924150763,0.835,0.34,0.075,-0.099190600024498,-0.0615167328940505
null,S16,late_surge,threshold_jump,0.4,0,glm,-0.00768998442880635,0.0649639934892296,0.915,0.085,,-0.00200505450849045,-0.00128693670596658
non_null,S16,late_surge,threshold_jump,0.4,1,glm,0.105634430126833,0.122110747409744,0.58,0.17,0.155,-0.0588584219923133,-0.0369926423925219
null,S16,late_surge,threshold_jump,0.4,1,glm,0.0296920010471235,0.0654042690172636,0.935,0.065,,0.0347165097824757,0.023039077402814
non_null,S17,late_surge,threshold_jump,0.7,0,glm,0.0667442784621555,0.0957168238333496,0.815,0.35,0.07,-0.109553912224584,-0.0682739593124029
null,S17,late_surge,threshold_jump,0.7,0,glm,-0.00749688357110965,0.0695128438684498,0.94,0.06,,-0.00778460411338823,-0.00502334664912757
non_null,S17,late_surge,threshold_jump,0.7,1,glm,0.105291047267746,0.122182406585376,0.625,0.16,0.16,-0.065954453319084,-0.0405497436008825
null,S17,late_surge,threshold_jump,0.7,1,glm,0.0292682339939536,0.0706919756630099,0.9,0.1,,0.0285020161171841,0.0186374147347588
non_null,S18,late_surge,threshold_jump,1,0,glm,0.0625488393656843,0.0948654203719549,0.86,0.345,0.05,-0.102764888849474,-0.064717967185448
null,S18,late_surge,threshold_jump,1,0,glm,0.0102230264997651,0.0639869580037769,0.96,0.04,,0.0101855668027091,0.00677495300842879
non_null,S18,late_surge,threshold_jump,1,1,glm,0.0978628226748814,0.114370989936202,0.6,0.205,0.12,-0.0667724091556307,-0.0413854003423393
null,S18,late_surge,threshold_jump,1,1,glm,0.0465000865464682,0.0747725501748527,0.875,0.125,,0.0443516155575519,0.0296406266402646
